gutenberg_id,title,author,text,subject,description,region,banned,text_has_gender,text_has_race,text_has_sexuality,text_has_violence,text_has_politics,text_has_history,text_has_religion,text_has_education,text_has_identity,text_has_anti_intellectualism,text_has_family,desc_has_gender,desc_has_race,desc_has_sexuality,desc_has_violence,desc_has_politics,desc_has_history,desc_has_religion,desc_has_education,desc_has_identity,desc_has_anti_intellectualism,desc_has_family,subj_has_gender,subj_has_race,subj_has_sexuality,subj_has_violence,subj_has_politics,subj_has_history,subj_has_religion,subj_has_education,subj_has_identity,subj_has_anti_intellectualism,subj_has_family
768,Wuthering Heights,Emily Brontë,,"Fiction, Classics",emily bronts  novel wuthering heights   tale  passion revenge   destructive power  love set   yorkshire moors  follows  intertwined lives   earnshaw  linton families particularly focusing   intense relationship  catherine earnshaw  heathcliff  orphan adopted   father,Florida,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7785,Leonardo Da Vinci,Maurice W. Brockwell,,"Biography & Autobiography, Art",walter isaacsons biography delves   life  leonardo da vinci exploring  extraordinary achievements  art science engineering  anatomy drawing  thousands  pages  leonardos notebooks isaacson weaves  narrative  connects  artistic genius   scientific explorations,Florida,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21580,The Pirate,Captain Frederick Marryat,,"Fiction, Adventure, Historical",sir walter scotts  pirate  set   early th century   remote islands  shetland  orkney  novel tells  story  basil mertoun   son mordaunt  become entangled  local islanders   mysterious pirate named captain cleveland leading  adventures  romantic entanglements,Florida,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25829,The Dark Tower,Phyllis Bottome,,"Fiction, Fantasy, Horror",stephen kings  dark tower series   blend  fantasy horror  western genres  follows  journey  roland deschain  last gunslinger   pursues  enigmatic dark tower  nexus   universes encountering various characters  facing numerous challenges along  way,Florida,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30014,Native Son,T. D. Hamm,,"Fiction, African American, Classics",richard wrights native son tells  story  bigger thomas  young african american man living   chicago  novel explores themes  systemic racism poverty   psychological effects  oppression  bigger becomes entangled   series  events  lead   tragic outcome,Florida,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59277,Redeemed,George Sheldon Downs,,"Fiction, Fantasy, Young Adult",redeemed  final book   house  night series  pc cast  kristin cast  heroine zoey redbird confronts dark forces threatening  world  novel combines elements  fantasy romance  adventure  zoey   friends strive  restore balance  overcome evil,Florida,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1508,The Taming of the Shrew,William Shakespeare,,"Drama, Comedy, Classics",william shakespeares  taming   shrew   comedic play  centers   courtship  petruchio  katherina known   sharp tongue  fiery spirit katherina  seen  unmarriageable  petruchio undertakes  challenge  taming  leading  humorous  thoughtprovoking situations,Florida,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14658,The Road,Jack London,,"Fiction, Post-Apocalyptic, Adventure",cormac mccarthys  road   postapocalyptic novel  follows  father   young son   journey   desolate landscape struggling  survive  story explores themes  survival hope   bond  parent  child   face  overwhelming adversity,Florida,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51255,Chain Reaction,Boyd Ellanby,,"Fiction, Romance, Young Adult",simone elkeles chain reaction   third installment   perfect chemistry series  follows luis fuentes  smart  ambitious teenager  falls  nikki cruz  girl   troubled past  novel explores themes  love family   challenges  overcoming ones circumstances,Florida,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66751,The Heir,Sydney C. Grier,,"Fiction, Romance, Young Adult",kiera casss  heir   fourth book   selection series  follows princess eadlyn schreave   embarks    selection  competition  find  suitable husband  novel explores themes  love duty  selfdiscovery  eadlyn navigates  challenges  leadership  romance,Florida,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
174,The Picture of Dorian Gray,Oscar Wilde,,"Fiction, Gothic Fiction, Philosophical Fiction",novel tells  story   young man named dorian gray  wishes   portrait  age instead     pursues  life  hedonism  debauchery  portrait reflects  consequences   actions   remains outwardly youthful,Iowa,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1377,The Talisman,Sir Walter Scott,,"Fantasy, Horror",novel cowritten  stephen king  peter straub  follows  young boy named jack sawyer   quest across america   parallel world called  territories  find  talisman  can save  dying mother,Iowa,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12683,Christine,Elizabeth Von Arnim,,"Horror, Thriller",novel  stephen king   plymouth fury possessed  supernatural forces leading  teenage owner   path  destruction  terror,Iowa,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
